学生番号【ダミー】,年度,Q01_所属学部,Q01_所属学部_ラベル,Q02_学年,Q03_履修科目数,Q04_授業時間外学習時間,Q04_授業時間外学習時間_ラベル,Q05_授業の理解度,Q05_授業の理解度_ラベル,Q06_授業の満足度,Q06_授業の満足度_ラベル,Q07_課題が多い,Q07_課題が多い_ラベル,Q08_あなたの学生生活は充実していますか,Q08_あなたの学生生活は充実していますか_ラベル,Q09_教員とのコミュニケーション,Q09_教員とのコミュニケーション_ラベル,Q10_他の学生とのコミュニケーション,Q10_他の学生とのコミュニケーション_ラベル,Q11_図書館の設備,Q11_図書館の設備_ラベル,Q12_学内のICT環境について,Q12_学内のICT環境について_ラベル,GPA,TOEIC
"18A236",2020.000,3,"保健学部","3年生",9,5,"6-10 時間",5,"大変よく理解できた",3,"どちらでもない",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",5,"とても満足",4,"満足",3.390,332.000
"18A237",2020.000,1,"文学部","3年生",8,4,"3-5 時間",2,"あまり理解できなかった",4,"満足",2,"あまりそう思わない",1,"充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",1,"とても不満",2.850,489.000
"18A238",2020.000,1,"文学部","3年生",10,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",2.640,360.000
"18A239",2020.000,2,"商学部","3年生",11,5,"6-10 時間",1,"まったく理解できなかった",2,"不満",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",2.990,361.000
"18A240",2020.000,3,"保健学部","3年生",12,8,"20 時間以上",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",5,"とても満足",3.010,420.000
"18A241",2020.000,1,"文学部","3年生",6,4,"3-5 時間",3,"どちらでもない",4,"満足",3,"どちらでもない",4,"充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",3.800,543.000
"18A242",2020.000,2,"商学部","3年生",5,5,"6-10 時間",3,"どちらでもない",5,"とても満足",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",4,"満足",2.470,647.000
"18A243",2020.000,3,"保健学部","3年生",11,6,"11-15 時間",3,"どちらでもない",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",2.880,623.000
"18A244",2020.000,1,"文学部","3年生",5,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",2,"あまりそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",1,"とても不満",1.830,514.000
"18A245",2020.000,1,"文学部","3年生",4,4,"3-5 時間",4,"よく理解できた",5,"とても満足",2,"あまりそう思わない",4,"充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",5,"とても満足",1,"とても不満",1.470,321.000
"18A246",2020.000,1,"文学部","3年生",3,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",2,"不満",1.050,329.000
"18A247",2020.000,1,"文学部","3年生",11,8,"20 時間以上",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",1,"とても不満",3,"どちらでもない",2.870,512.000
"18A248",2020.000,2,"商学部","3年生",11,6,"11-15 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",2,"不満",4,"満足",2.250,732.000
"18A249",2020.000,2,"商学部","3年生",9,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",5,"とても満足",2.470,387.000
"18A250",2020.000,3,"保健学部","3年生",9,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",3.420,566.000
"18A251",2020.000,1,"文学部","3年生",7,4,"3-5 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",4,"満足",3.280,613.000
"18A252",2020.000,2,"商学部","3年生",6,5,"6-10 時間",3,"どちらでもない",3,"どちらでもない",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",1.190,348.000
"18A253",2020.000,3,"保健学部","3年生",9,6,"11-15 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.770,486.000
"18A254",2020.000,1,"文学部","3年生",13,7,"16-20 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",3.670,439.000
"18A255",2020.000,2,"商学部","3年生",8,5,"6-10 時間",3,"どちらでもない",4,"満足",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",2.320,692.000
"18A256",2020.000,1,"文学部","3年生",7,2,"1 時間未満",3,"どちらでもない",2,"不満",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.230,534.000
"18A257",2020.000,2,"商学部","3年生",10,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",2,"不満",4,"満足",1.850,568.000
"18A258",2020.000,3,"保健学部","3年生",8,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",3.070,583.000
"18A259",2020.000,1,"文学部","3年生",6,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",2,"あまりそう思わない",1,"充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",3.180,430.000
"18A260",2020.000,2,"商学部","3年生",5,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",2,"あまりそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",2.670,469.000
"18A261",2020.000,2,"商学部","3年生",7,5,"6-10 時間",3,"どちらでもない",2,"不満",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",3.900,840.000
"18A262",2020.000,2,"商学部","3年生",9,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",2.590,442.000
"18A263",2020.000,1,"文学部","3年生",7,5,"6-10 時間",4,"よく理解できた",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.810,513.000
"18A264",2020.000,2,"商学部","3年生",6,8,"20 時間以上",3,"どちらでもない",5,"とても満足",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",1.910,380.000
"18A265",2020.000,1,"文学部","3年生",6,4,"3-5 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",1,"充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",4,"満足",2.980,766.000
"18A266",2020.000,1,"文学部","3年生",5,7,"16-20 時間",4,"よく理解できた",4,"満足",3,"どちらでもない",2,"あまり充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.140,768.000
"18A267",2020.000,2,"商学部","3年生",5,7,"16-20 時間",5,"大変よく理解できた",2,"不満",1,"まったくそう思わない",2,"あまり充実していない",1,"まったくうまくいかなかった",4,"とてもうまくいった",1,"とても不満",2,"不満",1.450,328.000
"18A268",2020.000,2,"商学部","3年生",12,8,"20 時間以上",5,"大変よく理解できた",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",3.260,340.000
"18A269",2020.000,1,"文学部","3年生",6,4,"3-5 時間",2,"あまり理解できなかった",4,"満足",2,"あまりそう思わない",4,"充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",5,"とても満足",4,"満足",3.590,498.000
"18A270",2020.000,2,"商学部","3年生",9,4,"3-5 時間",3,"どちらでもない",5,"とても満足",3,"どちらでもない",4,"充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",5,"とても満足",2.930,514.000
"18A271",2020.000,3,"保健学部","3年生",7,6,"11-15 時間",3,"どちらでもない",1,"とても不満",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",5,"とても満足",2.510,314.000
"18A272",2020.000,2,"商学部","3年生",11,7,"16-20 時間",5,"大変よく理解できた",2,"不満",5,"とてもそう思う",1,"充実していない",4,"とてもうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",4,"満足",3.340,601.000
"18A273",2020.000,2,"商学部","3年生",9,7,"16-20 時間",4,"よく理解できた",2,"不満",1,"まったくそう思わない",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",5,"とても満足",3.250,550.000
"18A274",2020.000,2,"商学部","3年生",4,2,"1 時間未満",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",0.830,169.000
"18A275",2020.000,1,"文学部","3年生",9,5,"6-10 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",2,"不満",4,"満足",3.050,533.000
"18A276",2020.000,3,"保健学部","3年生",10,6,"11-15 時間",3,"どちらでもない",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",1.770,550.000
"18A277",2020.000,3,"保健学部","3年生",9,5,"6-10 時間",4,"よく理解できた",2,"不満",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",1,"とても不満",2.810,587.000
"18A278",2020.000,3,"保健学部","3年生",10,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",2,"不満",2.720,288.000
"18A279",2020.000,1,"文学部","3年生",11,6,"11-15 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",4,"とてもうまくいった",4,"とてもうまくいった",1,"とても不満",3,"どちらでもない",2.740,465.000
"18A280",2020.000,3,"保健学部","3年生",6,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",2,"あまり充実していない",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",4,"満足",2.170,515.000
"18A281",2020.000,3,"保健学部","3年生",8,3,"1-2 時間",2,"あまり理解できなかった",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",1,"とても不満",2.880,711.000
"18A282",2020.000,1,"文学部","3年生",7,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",4,"ややそう思う",1,"充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",2,"不満",3.370,653.000
"18A283",2020.000,2,"商学部","3年生",9,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.900,679.000
"18A284",2020.000,1,"文学部","3年生",8,4,"3-5 時間",5,"大変よく理解できた",4,"満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",3.430,491.000
"18A285",2020.000,1,"文学部","3年生",11,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",1,"とても不満",2.350,574.000
"18A286",2020.000,2,"商学部","3年生",10,8,"20 時間以上",4,"よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",4,"とてもうまくいった",1,"とても不満",2,"不満",2.330,584.000
"18A287",2020.000,3,"保健学部","3年生",2,1,"全然ない",3,"どちらでもない",2,"不満",2,"あまりそう思わない",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",1.910,541.000
"18A288",2020.000,1,"文学部","3年生",9,7,"16-20 時間",3,"どちらでもない",5,"とても満足",3,"どちらでもない",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",4,"満足",2.980,480.000
"18A289",2020.000,3,"保健学部","3年生",7,3,"1-2 時間",5,"大変よく理解できた",4,"満足",2,"あまりそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",4,"満足",5,"とても満足",3.140,537.000
"18A290",2020.000,1,"文学部","3年生",6,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",3,"どちらでもない",1.350,311.000
"18A291",2020.000,3,"保健学部","3年生",9,7,"16-20 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",2.910,414.000
"18A292",2020.000,2,"商学部","3年生",8,6,"11-15 時間",3,"どちらでもない",2,"不満",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",2.820,712.000
"18A293",2020.000,2,"商学部","3年生",8,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",2,"あまりそう思わない",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",3,"どちらでもない",2.740,522.000
"19A001",2020.000,2,"商学部","2年生",9,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",4,"ややそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",1,"とても不満",1.960,286.000
"19A002",2020.000,3,"保健学部","2年生",8,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.480,519.000
"19A003",2020.000,1,"文学部","2年生",11,8,"20 時間以上",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",2.790,829.000
"19A004",2020.000,2,"商学部","2年生",12,8,"20 時間以上",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",4,"満足",3.170,669.000
"19A005",2020.000,3,"保健学部","2年生",10,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",3.020,615.000
"19A006",2020.000,1,"文学部","2年生",9,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",1.830,318.000
"19A007",2020.000,2,"商学部","2年生",3,2,"1 時間未満",3,"どちらでもない",2,"不満",2,"あまりそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.830,748.000
"19A008",2020.000,1,"文学部","2年生",13,7,"16-20 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",2,"不満",4,"満足",3.020,554.000
"19A009",2020.000,1,"文学部","2年生",4,4,"3-5 時間",4,"よく理解できた",4,"満足",2,"あまりそう思わない",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",5,"とても満足",3.600,620.000
"19A010",2020.000,2,"商学部","2年生",7,5,"6-10 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",2.970,549.000
"19A011",2020.000,2,"商学部","2年生",8,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",4,"充実している",3,"いくらかうまくいった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",3.050,432.000
"19A012",2020.000,1,"文学部","2年生",10,8,"20 時間以上",1,"まったく理解できなかった",2,"不満",4,"ややそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",2.150,608.000
"19A013",2020.000,1,"文学部","2年生",7,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",1,"充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",3.200,750.000
"19A014",2020.000,1,"文学部","2年生",10,7,"16-20 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.880,631.000
"19A015",2020.000,3,"保健学部","2年生",7,5,"6-10 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",1,"とても不満",3,"どちらでもない",3.050,755.000
"19A016",2020.000,1,"文学部","2年生",14,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.500,367.000
"19A017",2020.000,3,"保健学部","2年生",9,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",1,"とても不満",2.590,466.000
"19A018",2020.000,3,"保健学部","2年生",10,7,"16-20 時間",3,"どちらでもない",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",1,"とても不満",2.980,593.000
"19A019",2020.000,1,"文学部","2年生",5,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",4,"ややそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.030,365.000
"19A020",2020.000,3,"保健学部","2年生",12,8,"20 時間以上",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",3.260,736.000
"19A021",2020.000,3,"保健学部","2年生",6,3,"1-2 時間",3,"どちらでもない",4,"満足",1,"まったくそう思わない",4,"充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",4,"満足",1.570,557.000
"19A022",2020.000,1,"文学部","2年生",10,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",5,"とても満足",2.770,578.000
"19A023",2020.000,2,"商学部","2年生",10,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",4,"満足",2.930,688.000
"19A024",2020.000,1,"文学部","2年生",8,4,"3-5 時間",3,"どちらでもない",1,"とても不満",2,"あまりそう思わない",1,"充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.710,764.000
"19A025",2020.000,1,"文学部","2年生",9,7,"16-20 時間",4,"よく理解できた",2,"不満",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",5,"とても満足",5,"とても満足",2.250,738.000
"19A026",2020.000,1,"文学部","2年生",2,4,"3-5 時間",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.910,620.000
"19A027",2020.000,3,"保健学部","2年生",14,8,"20 時間以上",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",4,"満足",1.920,231.000
"19A028",2020.000,2,"商学部","2年生",11,7,"16-20 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",3,"どちらでもない",2.650,553.000
"19A029",2020.000,2,"商学部","2年生",6,6,"11-15 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",2.560,459.000
"19A030",2020.000,2,"商学部","2年生",9,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",1,"まったくうまくいかなかった",2,"不満",2,"不満",2.600,548.000
"19A031",2020.000,3,"保健学部","2年生",9,5,"6-10 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.780,575.000
"19A032",2020.000,2,"商学部","2年生",8,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",3.080,728.000
"19A033",2020.000,2,"商学部","2年生",7,3,"1-2 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",1,"とても不満",2,"不満",3.150,625.000
"19A034",2020.000,3,"保健学部","2年生",8,6,"11-15 時間",1,"まったく理解できなかった",2,"不満",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",3,"どちらでもない",3.750,533.000
"19A035",2020.000,1,"文学部","2年生",11,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",1,"充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",1.700,634.000
"19A036",2020.000,3,"保健学部","2年生",12,4,"3-5 時間",5,"大変よく理解できた",4,"満足",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",2.750,545.000
"19A037",2020.000,3,"保健学部","2年生",10,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",1,"とても不満",3.090,451.000
"19A038",2020.000,1,"文学部","2年生",13,7,"16-20 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",1,"とても不満",2,"不満",2.050,297.000
"19A039",2020.000,2,"商学部","2年生",1,1,"全然ない",3,"どちらでもない",2,"不満",1,"まったくそう思わない",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",3.110,498.000
"19A040",2020.000,3,"保健学部","2年生",12,8,"20 時間以上",3,"どちらでもない",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",3.340,519.000
"19A041",2020.000,2,"商学部","2年生",4,3,"1-2 時間",5,"大変よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",5,"とても満足",2.880,699.000
"19A042",2020.000,3,"保健学部","2年生",9,6,"11-15 時間",2,"あまり理解できなかった",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",3,"どちらでもない",3.120,557.000
"19A043",2020.000,2,"商学部","2年生",8,8,"20 時間以上",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",1.290,288.000
"19A044",2020.000,1,"文学部","2年生",8,6,"11-15 時間",3,"どちらでもない",2,"不満",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",1,"とても不満",3.790,598.000
"19A045",2020.000,1,"文学部","2年生",9,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",3,"どちらでもない",1.620,595.000
"19A046",2020.000,3,"保健学部","2年生",7,2,"1 時間未満",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",0.440,73.000
"19A047",2020.000,2,"商学部","2年生",10,5,"6-10 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",5,"とても満足",3,"どちらでもない",2.630,397.000
"19A048",2020.000,1,"文学部","2年生",9,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",2.760,709.000
"19A049",2020.000,2,"商学部","2年生",6,5,"6-10 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",1,"とても不満",4,"満足",2.750,646.000
"19A050",2020.000,3,"保健学部","2年生",7,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",2,"あまりうまくいかなかった",2,"不満",1,"とても不満",2.920,274.000
"19A051",2020.000,3,"保健学部","2年生",5,5,"6-10 時間",1,"まったく理解できなかった",1,"とても不満",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",2,"不満",1.390,191.000
"19A052",2020.000,2,"商学部","2年生",10,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",2.950,558.000
